symbol
SMH
SOXL
XLK
XLY
XLC
XLF
XLV
XLI
XLP
XLE
XLB
XLRE
XLU
DIA
IWM
QQQ
SPY
SH
SQQQ
TNA
TQQQ
TZA
GDX
GLD
NUGT
SLV
QYLD
GUSH
DRIP
